no,모델명,연월,연식,연료,인승,최대출력(마력),기통,최대토크(kgm),구동방식,자동수동,국산/수입,신차가(만원),가격(만원),주행거리
18,기아 스포티지R 2.0 디젤 2WD TLX 프리미엄,11/03(12년형),2012.0,디젤,,184.0,4.0,40.0,FF,,국산,2615.0,750.0,160000
19,쌍용 체어맨H 뉴 클래식 500S 최고급형,12/03,2012.0,가솔린,,200.0,6.0,27.0,FR,,국산,4195.0,1580.0,70000
20,현대 엑센트 1.6 VGT 모던,15/11(16년형),2016.0,디젤,,136.0,4.0,30.6,FF,,국산,1796.0,990.0,60000
21,현대 그랜드스타렉스 캠핑카,12/07,2012.0,디젤,,174.0,,41.0,,,국산,,5880.0,30000
22,기아 K9 3.8 GDI VIP,14/03,2014.0,가솔린,,334.0,6.0,40.3,FR,,국산,6830.0,3620.0,40000
23,현대 뉴베르나 4도어 1.3 GL 기본형,05/09,2005.0,가솔린,,,4.0,,FF,,국산,753.0,218.0,160000
24,현대 제네시스 쿠페 380 GT R,08/10(09년형),2009.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,949.0,60000
25,기아 레이 1.0 가솔린 프레스티지,14/07,2014.0,가솔린,,78.0,3.0,9.6,FF,,국산,1514.0,1090.0,20000
26,현대 제네시스 쿠페 380 GT R,09/08,2009.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,760.0,130000
27,쉐보레 말리부 2.0 LPGi  LTZ 디럭스,12/04,2012.0,LPG,,137.0,,18.7,FF,,국산,2787.0,1150.0,110000
28,현대 싼타페 더 프라임 2.2 디젤 2WD 익스클루시브 스페셜,16/01,2016.0,디젤,,202.0,4.0,45.0,FF,,국산,3423.0,2650.0,10000
29,기아 포르테 1.6 CVVT SI,09/06,2009.0,가솔린,5.0,124.0,4.0,15.9,FF,수동,국산,1421.0,480.0,80000
30,현대 제네시스 쿠페 380 GT P,09/01,2009.0,가솔린,,303.0,6.0,36.8,FR,,국산,3042.0,1150.0,120000
31,르노삼성 SM7 뉴 아트 LE23,09/02,2009.0,가솔린,,170.0,6.0,23.0,FF,,국산,3020.0,1030.0,90000
32,기아 스포티지 4세대 2.0 디젤 2WD 노블레스,16/04,2016.0,디젤,,,,,,수동,국산,2601.0,2400.0,10000
33,현대 그랜져HG 220 디젤 모던,15/05(16년형),2016.0,디젤,,202.0,4.0,45.0,FF,,국산,3215.0,1380.0,110000
34,기아 오피러스 수출형 아만티,07/08(06년형),2006.0,가솔린,,250.0,,35.0,FF,,국산,,319.0,110000
35,르노삼성 SM7 VQ35 RE,05/03,2005.0,가솔린,,217.0,6.0,31.9,FF,,국산,3510.0,520.0,200000
36,현대 뉴 에쿠스 VL 500 프레스티지,10/02,2010.0,가솔린,,400.0,8.0,51.0,FR,,국산,14600.0,2190.0,150000
37,현대 뉴 에쿠스 VS 380 프레스티지 VVIP팩,12/09,2012.0,가솔린,,334.0,6.0,40.3,FR,,국산,10173.0,3890.0,30000
38,르노삼성 SM7 뉴 아트 LE23,08/01,2008.0,가솔린,,170.0,6.0,23.0,FF,,국산,3100.0,840.0,150000
39,쌍용 체어맨W V8 5000 리무진,08/06,2008.0,가솔린,,306.0,8.0,45.0,FR,,국산,10200.0,1150.0,110000
40,현대 싼타페 더 프라임 2.0 디젤 4WD 프리미엄,17/05(18년형),2018.0,디젤,,186.0,4.0,41.0,4WD,,국산,3195.0,2250.0,20000
41,현대 뉴 투스카니 2.0 GTS-1 기본형,07/03,2007.0,가솔린,,,,,,수동,국산,1815.0,350.0,140000
42,기아 스포티지R 2.0 디젤 2WD 리미티드,10/09(11년형),2011.0,디젤,,184.0,,40.0,FF,,국산,,890.0,180000
43,현대 아반떼MD M16 GDi 프리미어,10/09(11년형),2011.0,가솔린,,140.0,,17.0,FF,,국산,1810.0,750.0,60000
44,현대 제네시스 쿠페 200 터보 P,09/04,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,940.0,70000
45,현대 그랜져HG 300 LPG 모던,15/05,2015.0,LPG,,235.0,,28.6,FF,,국산,,1250.0,80000
46,기아 K7 VG350 노블레스 프리미엄,10/11(11년형),2011.0,가솔린,,290.0,6.0,34.5,FF,,국산,4135.0,1720.0,50000
47,현대 i30 2.0 VVT 럭셔리,09/06,2009.0,가솔린,5.0,143.0,4.0,19.0,FF,수동,국산,1721.0,490.0,60000
48,현대 그랜드스타렉스 리무진,07/08(08년형),2008.0,디젤,,175.0,,46.0,FR,,국산,,1490.0,110000
49,현대 투스카니 2.0 GTS 고급형,02/09,2002.0,가솔린,,,,,,수동,국산,1616.0,210.0,180000
50,현대 뉴 에쿠스 VS 380 프라임 VIP팩,10/06,2010.0,가솔린,,290.0,6.0,36.5,FR,,국산,7980.0,1990.0,170000
51,현대 제네시스 쿠페 200 터보 P,10/04,2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,1330.0,80000
52,GM대우 라세티 프리미어 CDX 일반형,10/06,2010.0,가솔린,,114.0,4.0,15.5,FF,,국산,1662.0,390.0,200000
53,현대 NF쏘나타 N20 럭셔리 고급형,05/02,2005.0,가솔린,,144.0,4.0,23.0,FF,,국산,2023.0,230.0,220000
54,현대 그랜져HG 300 LPG 이그제큐티브,11/07,2011.0,LPG,,235.0,,28.6,FF,,국산,,1899.0,110000
55,제네시스 G80 3.3 GDi AWD 프리미엄 럭셔리,16/11(17년형),2017.0,가솔린,,282.0,6.0,35.4,AWD,,국산,5510.0,5500.0,22
56,기아 레이 1.0 바이퓨얼 프레스티지,12/05,2012.0,가솔린/LPG겸용,,78.0,3.0,9.6,FF,,국산,1625.0,500.0,130000
57,쌍용 코란도 스포츠 CX7 4WD 패션,14/06,2014.0,디젤,,155.0,,36.7,4WD,,국산,,1780.0,30000
58,현대 아반떼MD M16 GDi 탑,12/10(13년형),2013.0,가솔린,,140.0,4.0,16.9,FF,,국산,1890.0,1100.0,60000
59,기아 K5 2.0 프레스티지,10/07(11년형),2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2595.0,780.0,180000
60,현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,14/05(15년형),2015.0,디젤,,184.0,4.0,40.0,FF,,국산,2425.0,1290.0,100000
61,기아 K5 2세대 1.7 디젤 MX 노블레스,15/07(16년형),2016.0,디젤,,141.0,4.0,34.7,FF,,국산,2920.0,1299.0,120000
62,현대 제네시스 쿠페 200 터보 P,09/08(10년형),2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,830.0,100000
63,현대 투스카니 2.0 GTS 고급형,05/06,2005.0,가솔린,,143.0,4.0,19.0,FF,,국산,1930.0,200.0,100000
64,기아 레이 1.0 가솔린 프레스티지,13/05,2013.0,가솔린,,78.0,3.0,9.6,FF,,국산,1490.0,550.0,60000
65,현대 제네시스 쿠페 200 터보 D,09/06(10년형),2010.0,가솔린,4.0,210.0,4.0,30.5,FR,수동,국산,2320.0,580.0,120000
66,르노삼성 트위지 인텐스,18/11(19년형),2019.0,전기,,17.1,,5.8,MR,,국산,1500.0,600.0,60
67,현대 싼타페 더 프라임 2.0 디젤 2WD 익스클루시브 스페셜,15/09(16년형),2016.0,디젤,,186.0,4.0,41.0,FF,,국산,3318.0,2790.0,10000
68,현대 그랜져TG Q270 디럭스,06/06,2006.0,가솔린,,195.0,6.0,25.6,FF,,국산,2771.0,530.0,170000
69,현대 제네시스 BH330 럭셔리,10/01,2010.0,가솔린,,262.0,6.0,32.1,FR,,국산,4724.0,980.0,90000
70,현대 뉴 에쿠스 VL 500 프레스티지,14/10(15년형),2015.0,가솔린,,416.0,8.0,52.0,FR,,국산,14303.0,4850.0,30000
71,현대 i30 1.6 VVT 럭셔리,08/03,2008.0,가솔린,,121.0,4.0,15.7,FF,,국산,1425.0,465.0,120000
72,기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,15/03,2015.0,디젤,,202.0,4.0,45.0,FF,,국산,2990.0,2599.0,50000
73,현대 뉴 에쿠스 VL 500 프레스티지,11/05(12년형),2012.0,가솔린,,430.0,8.0,52.0,FR,,국산,14300.0,1880.0,70000
74,현대 엑센트 1.4 VVT 위트 모던,16/03(17년형),2017.0,가솔린,,100.0,4.0,13.6,FF,,국산,1499.0,990.0,30000
75,기아 뉴 그랜버드 캠핑카,10/06(11년형),2011.0,디젤,,,,,,수동,국산,,5500.0,410000
76,기아 스토닉 1.6 디젤 프레스티지,17/09(18년형),2018.0,디젤,,110.0,4.0,30.6,FF,,국산,2265.0,1650.0,10000
77,현대 뉴그랜져XG R25 고급형,02/05,2002.0,가솔린,,172.0,6.0,23.5,FF,,국산,2711.0,140.0,340000
78,현대 쏘나타 더 브릴리언트 2.0 LPi 모던,12/07(13년형),2013.0,LPG,,157.0,,20.0,FF,,국산,,990.0,100000
79,쉐보레 올 뉴 말리부 1.5 터보 LTZ 퍼팩트블랙,17/01,2017.0,가솔린,,166.0,4.0,25.5,FF,,국산,3085.0,2950.0,10
80,기아 K5 2.0 터보 프레스티지,11/11(12년형),2012.0,가솔린,,271.0,4.0,37.1,FF,,국산,2815.0,1490.0,70000
81,현대 제네시스 쿠페 380 GT R,09/04,2009.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,990.0,120000
82,현대 쏘나타 하이브리드 2.0 HEV 스마트,14/06,2014.0,가솔린+전기,,191.0,4.0,27.0,FF,,국산,3038.0,1390.0,50000
83,현대 제네시스 BH380 로얄 VIP 팩,11/11(12년형),2012.0,가솔린,,290.0,6.0,36.5,FR,,국산,6021.0,1790.0,190000
84,GM대우 마티즈 크리에이티브 재즈 일반형,11/01,2011.0,가솔린,,70.0,4.0,9.4,FF,,국산,873.0,370.0,100000
85,기아 뉴 페이스 카렌스 2.0 LPI GLX 최고급형,09/07,2009.0,LPG,,141.0,4.0,19.0,FF,,국산,2006.0,588.0,200000
86,기아 더 뉴 K7 3.0 LPi 럭셔리,14/03,2014.0,LPG,,,,,,,국산,,1149.0,110000
87,제네시스 EQ900 3.8 GDi AWD 프레스티지,16/01,2016.0,가솔린,,315.0,6.0,40.5,AWD,,국산,10500.0,4590.0,80000
88,현대 LF쏘나타 2.0 CVVL 스마트,14/09(15년형),2015.0,가솔린,,168.0,4.0,20.5,FF,,국산,2545.0,1499.0,30000
89,쌍용 액티언 스포츠 AX5 2WD 패션,08/09(09년형),2009.0,디젤,,145.0,,31.6,FR,,국산,2220.0,390.0,110000
90,기아 봉고3 워크스루밴,16/04,2016.0,디젤,,126.0,,25.5,,,국산,,1580.0,50000
91,르노삼성 SM7 VQ23 LE,05/05,2005.0,가솔린,,170.0,6.0,23.0,FF,,국산,2730.0,590.0,70000
92,현대 엑센트 1.6 VGT 모던,14/08(15년형),2015.0,디젤,,136.0,4.0,30.6,FF,,국산,1796.0,690.0,110000
93,현대 싼타페 2.0 골드 디젤 2WD 기본형,02/08,2002.0,디젤,,126.0,4.0,26.4,FF,,국산,2003.0,150.0,170000
94,기아 더 뉴 K9 3.3 GDI 이그제큐티브,15/05,2015.0,가솔린,,300.0,6.0,35.5,FR,,국산,5330.0,3950.0,20000
95,기아 포르테 1.6 CVVT SI,10/06,2010.0,가솔린,,124.0,4.0,15.9,FF,,국산,1466.0,390.0,130000
96,벤텍 라쿤S 이동업무차,17/04,2017.0,디젤,,174.0,,41.0,,,국산,,3890.0,40000
97,현대 뉴 제네시스 G380 파이니스트 에디션 AWD,16/10,2016.0,가솔린,,315.0,6.0,40.5,AWD,,국산,7123.0,5190.0,20000
98,쉐보레 스파크 LPGi LT,13/03,2013.0,LPG,,65.0,4.0,9.3,FF,,국산,1256.0,430.0,80000
99,기아 스포티지R 2.0 디젤 2WD TLX 고급형,12/05,2012.0,디젤,5.0,184.0,4.0,40.0,FF,수동,국산,2187.0,949.0,170000
100,쌍용 슈퍼렉스턴 노블레스 AWD,11/09,2011.0,디젤,,186.0,6.0,41.0,4WD,,국산,4014.0,650.0,170000
101,기아 쏘렌토 2.5 TLX 4WD 최고급형,02/05,2002.0,디젤,,145.0,4.0,33.0,AWD,,국산,2490.0,400.0,170000
102,쌍용 액티언 스포츠 AX7 4WD 패션,08/08(09년형),2009.0,디젤,,145.0,,31.6,FR,,국산,2390.0,690.0,180000
103,르노삼성 SM6 1.6 TCe RE,16/04,2016.0,가솔린,,190.0,4.0,26.5,FF,,국산,3250.0,1310.0,30000
104,르노삼성 뉴SM5 플래티넘 LPLi 택시/렌터카 고급형,13/08,2013.0,LPG,,,,,,,국산,,569.0,180000
105,현대 제네시스 쿠페 200 터보 P,10/04,2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,500.0,130000
106,현대 제네시스 쿠페 380 GT R,10/03,2010.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,1270.0,60000
107,현대 뉴 에쿠스 VL 500 프레스티지,15/03,2015.0,가솔린,,416.0,8.0,52.0,FR,,국산,14303.0,2990.0,180000
108,기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,14/01,2014.0,가솔린,,201.0,4.0,25.5,FF,,국산,3141.0,1730.0,70000
109,현대 엑센트 1.6 VGT 모던,15/05(16년형),2016.0,디젤,,136.0,4.0,30.6,FF,,국산,1796.0,520.0,160000
110,현대 싼타페DM 2.0 VGT 2WD 익스클루시브,14/01,2014.0,디젤,,184.0,4.0,41.0,FF,,국산,3198.0,1590.0,70000
111,쉐보레 스파크 밴,12/09,2012.0,가솔린,,70.0,,9.4,FF,,국산,,268.0,110000
112,르노삼성 SM7 VQ35 RE 블랙,07/02,2007.0,가솔린,,217.0,6.0,31.9,FF,,국산,3755.0,250.0,160000
113,르노삼성 QM3 RE,15/09,2015.0,디젤,,90.0,4.0,22.4,FF,,국산,2495.0,790.0,130000
114,기아 올 뉴 카니발 하이리무진 2.2 디젤 9인승 프레스티지,15/05(16년형),2016.0,디젤,,202.0,4.0,45.0,FF,,국산,4985.0,4390.0,20000
115,기아 그랜드카니발 R GX 그랜드팩,10/12(11년형),2011.0,디젤,,197.0,,44.5,FF,,국산,2336.0,1250.0,160000
116,현대 더 럭셔리 그랜져 Q270 럭셔리,10/05,2010.0,가솔린,,195.0,6.0,25.5,FF,,국산,3182.0,1190.0,200000
117,현대 아반떼MD M16 GDi 프리미엄,12/08(13년형),2013.0,가솔린,,140.0,4.0,16.9,FF,,국산,1955.0,866.0,150000
118,타이어프로 이동업무차,17/09(18년형),2018.0,디젤,,133.0,,,FR,,국산,,3600.0,9000
119,기아 올 뉴 모닝 1.0 가솔린 럭셔리,13/02,2013.0,가솔린,,82.0,3.0,9.6,FF,,국산,1176.0,590.0,50000
120,GM대우 레스타 장축 디럭스,13/07,2013.0,디젤,,,,,,수동,국산,,2599.0,70000
121,현대 갤로퍼 롱바디 터보 엑시드 6인승,93/04,1993.0,디젤,,,4.0,,4WD,,국산,1579.0,1080.0,150000
122,현대 아반떼HD 1.6 VVT X16 프리미어,07/09,2007.0,가솔린,,121.0,4.0,15.6,FF,,국산,1520.0,450.0,60000
123,현대 제네시스 쿠페 200 터보 D,10/05,2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2320.0,1050.0,100000
124,르노삼성 SM3 네오 SE,15/03,2015.0,가솔린,,117.0,4.0,16.1,FF,,국산,1710.0,552.0,40000
125,현대 카운티 15인승 캠핑카,00/01,2000.0,디젤,,,,,,수동,국산,,3650.0,90000
126,쉐보레 말리부 2.0 LTZ 디럭스팩,12/07,2012.0,가솔린,,141.0,6.0,18.8,FF,,국산,2963.0,1040.0,30000
127,현대 그랜져HG 220 디젤 프리미엄,15/02,2015.0,디젤,,202.0,4.0,45.0,FF,,국산,3389.0,899.0,370000
128,현대 뉴 제네시스 G330 모던 AWD,15/01,2015.0,가솔린,,282.0,6.0,35.4,AWD,,국산,4807.0,3650.0,40000
129,쌍용 뉴체어맨 CM500S 마제스티,06/03,2006.0,가솔린,,197.0,6.0,27.6,FR,,국산,4664.0,195.0,190000
130,현대 벨로스터 익스트림 터보,12/07(13년형),2013.0,가솔린,,204.0,4.0,26.9,FF,,국산,2195.0,1030.0,90000
131,르노삼성 SM6 2.0 LPe LE,16/11,2016.0,LPG,,140.0,,19.7,FF,,국산,,1490.0,50000
132,기아 K5 2.0 디럭스,11/01,2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2365.0,890.0,140000
133,기아 K3 1.6 GDI 디럭스,15/07,2015.0,가솔린,,,4.0,,FF,,국산,1403.0,698.0,80000
134,제네시스 G80 3.3 GDi 프리미엄 럭셔리,16/10(17년형),2017.0,가솔린,,282.0,6.0,35.4,FR,,국산,5510.0,3580.0,70000
135,현대 베라크루즈 2WD 300X 디럭스,08/05,2008.0,디젤,,240.0,6.0,46.0,FF,,국산,3549.0,650.0,350000
136,현대 뉴아반떼XD 1.5 VVT 골드 최고급형,04/07,2004.0,가솔린,,107.0,4.0,13.6,FF,,국산,1234.0,330.0,90000
137,현대 싼타페DM 2.0 VGT 2WD 익스클루시브,14/09(15년형),2015.0,디젤,,184.0,4.0,41.0,FF,,국산,3198.0,1990.0,80000
138,기아 K5 하이브리드 500H 프레스티지,14/10(15년형),2015.0,가솔린+전기,,191.0,4.0,27.0,FF,,국산,3178.0,2090.0,20000
139,기아 뉴 오피러스 GH270 LPI 고급형,08/07(09년형),2009.0,LPG,,165.0,,25.0,FF,,국산,3110.0,390.0,210000
140,기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,16/08(17년형),2017.0,디젤,,202.0,4.0,45.0,FF,,국산,3340.0,2590.0,50000
141,현대 제네시스 쿠페 200 터보 R,08/10(09년형),2009.0,가솔린,4.0,210.0,4.0,30.5,FR,수동,국산,2942.0,1250.0,140000
142,르노삼성 SM5 뉴 임프레션 LPLi 장애우용 LE,09/03,2009.0,LPG,,139.0,,19.4,FF,,국산,,380.0,230000
144,기아 K3 1.6 GDI 프레스티지,13/11(14년형),2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1923.0,450.0,100000
145,현대 포터2 다용도탑차,08/07,2008.0,디젤,,,,,,수동,국산,,700.0,50000
146,기아 스포티지R 2.0 디젤 2WD TLX 최고급형,12/08(13년형),2013.0,디젤,,184.0,4.0,40.0,FF,,국산,2499.0,890.0,120000
147,기아 더 뉴 모닝 밴 고급형,15/03(16년형),2016.0,가솔린,,78.0,,9.6,FF,,국산,1075.0,438.0,70000
148,현대 그랜져TG Q270 럭셔리,05/10(06년형),2006.0,가솔린,,195.0,6.0,25.6,FF,,국산,2971.0,499.0,120000
149,기아 더 뉴 K7 3.0 LPi 프레스티지,13/02,2013.0,LPG,,,,,,,국산,,1880.0,70000
150,현대 싼타페CM 2.2 VGT SLX 2WD 고급형,06/09(07년형),2007.0,디젤,,172.0,,37.0,FF,,국산,3083.0,499.0,210000
151,현대 싼타페DM 2.0 VGT 4WD 프리미엄,12/08(13년형),2013.0,디젤,,184.0,4.0,41.0,4WD,,국산,3218.0,1699.0,60000
152,현대 더 뉴 제네시스 쿠페 200 터보 S,12/02,2012.0,가솔린,,,,,,수동,국산,2965.0,1890.0,50000
153,현대 뉴 에쿠스 VS 380 익스클루시브,15/05,2015.0,가솔린,,334.0,6.0,40.3,FR,,국산,8747.0,3950.0,80000
154,기아 스토닉 1.4 가솔린 프레스티지,18/03,2018.0,가솔린,,100.0,4.0,13.6,FF,,국산,2025.0,1600.0,10000
155,제일모빌 에드윈 LR 캠핑카,09/07,2009.0,디젤,,174.0,,41.0,,,국산,,4550.0,70000
156,기아 봉고3 플러스 내장 탑차,11/03,2011.0,디젤,,,,,,수동,국산,,469.0,210000
157,르노삼성 SM7 뉴 아트 RE23,11/06,2011.0,가솔린,,170.0,6.0,23.0,FF,,국산,3270.0,650.0,150000
158,현대 벨로스터 DCT 팩,11/11(12년형),2012.0,가솔린,,140.0,4.0,17.0,FF,,국산,2200.0,650.0,110000
159,현대 더 뉴 아반떼 1.6 LPi 스마트,13/09(14년형),2014.0,LPG,,120.0,,15.5,FF,,국산,,690.0,100000
160,현대 뉴 에쿠스 VS 380 프라임 VIP팩,09/04(10년형),2010.0,가솔린,,290.0,6.0,36.5,FR,,국산,7980.0,1950.0,220000
161,두성 이동업무차,12/02,2012.0,디젤,,174.0,,41.0,,,국산,,3100.0,10000
162,기아 그랜드카니발 R GLX 프리미엄,14/02,2014.0,디젤,,197.0,,44.5,FF,,국산,,1950.0,30000
163,GM대우 토스카 L6 2.0 LPG 디럭스,07/12,2007.0,LPG,,144.0,,19.2,FF,,국산,,199.0,190000
164,현대 그랜져IG 2.4 GDI 프리미엄 스페셜,18/08(19년형),2019.0,가솔린,,190.0,4.0,24.6,FF,,국산,3400.0,2850.0,30000
165,쉐보레 말리부 2.0 LTZ 디럭스팩,13/04,2013.0,가솔린,,141.0,6.0,18.8,FF,,국산,3015.0,690.0,140000
166,현대 투싼ix 디젤 LX20 2WD 럭셔리,10/03,2010.0,디젤,,184.0,4.0,40.0,FF,,국산,2390.0,999.0,100000
167,현대 싼타페CM 2.2 VGT CLX 2WD 고급형,06/09(07년형),2007.0,디젤,,172.0,,34.0,FF,,국산,,450.0,150000
168,현대 올 뉴 투싼 2.0 E-VGT 2WD 모던,15/04(16년형),2016.0,디젤,,186.0,4.0,41.0,FF,,국산,2655.0,1550.0,90000
169,현대 투스카니 2.0 GL 고급형,05/08(06년형),2006.0,가솔린,4.0,143.0,4.0,19.0,FF,수동,국산,1282.0,290.0,160000
170,GM대우 G2X 2.0 터보,08/06,2008.0,가솔린,,264.0,,36.0,FR,,국산,4380.0,2000.0,50000
171,기아 K5 2.4 GDI 프레스티지,11/08,2011.0,가솔린,,201.0,4.0,25.5,FF,,국산,2825.0,1380.0,90000
172,현대 그랜져HG 240 모던,16/01,2016.0,가솔린,,190.0,4.0,25.5,FF,,국산,2988.0,2350.0,4000
173,현대 아반떼HD 1.6 VVT S16 럭셔리,09/05,2009.0,가솔린,,,4.0,,FF,,국산,1421.0,390.0,110000
174,현대 그랜져TG L330 탑,06/04,2006.0,가솔린,,233.0,6.0,31.0,FF,,국산,3577.0,300.0,180000
175,현대 갤로퍼2 7인승 롱바디 인터쿨러 슈퍼 고급형,97/11,1997.0,디젤,7.0,,,,4WD,수동,국산,,220.0,130000
176,쉐보레 올 뉴 말리부 1.5 터보 LT 디럭스,16/09(17년형),2017.0,가솔린,,166.0,4.0,25.5,FF,,국산,2863.0,1100.0,30000
177,기아 모하비 KV300 4WD 최고급형,11/01,2011.0,디젤,,250.0,6.0,55.1,4WD,,국산,4605.0,2150.0,150000
178,기아 포르테 1.6 CVVT SI,09/10(10년형),2010.0,가솔린,,124.0,4.0,15.9,FF,,국산,1466.0,570.0,110000
179,기아 K5 2.0 LPi 프레스티지,12/04(13년형),2013.0,LPG,,144.0,,19.3,FF,,국산,,1250.0,90000
180,현대 LF쏘나타 2.0 LPi 스마트,15/06,2015.0,LPG,,151.0,,19.8,FF,,국산,,790.0,90000
181,기아 더 K9 3.3 T-GDI AWD 마스터즈Ⅲ,19/06(20년형),2020.0,가솔린,,370.0,6.0,52.0,AWD,,국산,7289.0,5440.0,20000
182,기아 레이 1.0 밴 고급형,14/02,2014.0,가솔린,,78.0,3.0,9.6,FF,,국산,,498.0,60000
183,현대 NF쏘나타 N20 VGT 럭셔리 기본형,07/06,2007.0,디젤,,146.0,4.0,32.0,FF,,국산,2366.0,650.0,140000
184,현대 베라크루즈 4WD 300VXL 프리미엄,11/11(12년형),2012.0,디젤,,245.0,6.0,46.0,4WD,,국산,4564.0,2330.0,110000
185,현대 제네시스 BH330 프리미엄 다이내믹 에디션,13/04,2013.0,가솔린,,300.0,6.0,35.5,FR,,국산,5126.0,2090.0,130000
186,현대 더 뉴 제네시스 쿠페 380 GT R,13/04(14년형),2014.0,가솔린,,350.0,6.0,40.8,FR,,국산,3583.0,1620.0,120000
187,제일모빌 에드윈 G 캠핑카,08/05,2008.0,디젤,,,,,,,국산,,3450.0,70000
188,쌍용 로디우스 유로 RD500 4WD,13/01,2013.0,디젤,,155.0,,36.7,4WD,,국산,,1400.0,100000
189,쉐보레 크루즈 1.4 터보 LTZ 플러스,13/11(14년형),2014.0,가솔린,,130.0,4.0,20.4,FF,,국산,2114.0,1390.0,60000
190,쉐보레 스파크 밴,14/00,2014.0,가솔린,,70.0,,9.4,FF,,국산,,368.0,20000
191,기아 레이 1.0 가솔린 디럭스 스페셜,14/08(15년형),2015.0,가솔린,,78.0,3.0,9.6,FF,,국산,1310.0,658.0,70000
192,현대 뉴 투스카니 2.0 GTS 고급형,08/04(09년형),2009.0,가솔린,,143.0,,19.0,FF,,국산,,370.0,100000
193,현대 제네시스 쿠페 200 터보 RW,09/11(10년형),2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,3136.0,580.0,150000
194,현대 제네시스 BH330 프리미엄,14/02,2014.0,가솔린,,300.0,6.0,35.5,FR,,국산,5030.0,3200.0,10000
