모델명,연식,최대출력(마력),기통,최대토크(kgm),신차가(만원),가격(만원),주행거리,구동방식
르노삼성 SM7 뉴 아트 LE23,2008.0,170.0,6.0,23.0,3100.0,840.0,150000,0
쌍용 체어맨W V8 5000 리무진,2008.0,306.0,8.0,45.0,10200.0,1150.0,110000,1
현대 싼타페 더 프라임 2.0 디젤 4WD 프리미엄,2018.0,186.0,4.0,41.0,3195.0,2250.0,20000,2
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,940.0,70000,1
기아 K7 VG350 노블레스 프리미엄,2011.0,290.0,6.0,34.5,4135.0,1720.0,50000,0
현대 i30 2.0 VVT 럭셔리,2009.0,143.0,4.0,19.0,1721.0,490.0,60000,0
현대 뉴 에쿠스 VS 380 프라임 VIP팩,2010.0,290.0,6.0,36.5,7980.0,1990.0,170000,1
현대 제네시스 쿠페 200 터보 P,2010.0,210.0,4.0,30.5,2641.0,1330.0,80000,1
GM대우 라세티 프리미어 CDX 일반형,2010.0,114.0,4.0,15.5,1662.0,390.0,200000,0
현대 NF쏘나타 N20 럭셔리 고급형,2005.0,144.0,4.0,23.0,2023.0,230.0,220000,0
제네시스 G80 3.3 GDi AWD 프리미엄 럭셔리,2017.0,282.0,6.0,35.4,5510.0,5500.0,22,3
기아 레이 1.0 바이퓨얼 프레스티지,2012.0,78.0,3.0,9.6,1625.0,500.0,130000,0
현대 아반떼MD M16 GDi 탑,2013.0,140.0,4.0,16.9,1890.0,1100.0,60000,0
기아 K5 2.0 프레스티지,2011.0,165.0,4.0,20.2,2595.0,780.0,180000,0
현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,2015.0,184.0,4.0,40.0,2425.0,1290.0,100000,0
기아 K5 2세대 1.7 디젤 MX 노블레스,2016.0,141.0,4.0,34.7,2920.0,1299.0,120000,0
현대 제네시스 쿠페 200 터보 P,2010.0,210.0,4.0,30.5,2641.0,830.0,100000,1
현대 투스카니 2.0 GTS 고급형,2005.0,143.0,4.0,19.0,1930.0,200.0,100000,0
기아 레이 1.0 가솔린 프레스티지,2013.0,78.0,3.0,9.6,1490.0,550.0,60000,0
현대 제네시스 쿠페 200 터보 D,2010.0,210.0,4.0,30.5,2320.0,580.0,120000,1
현대 싼타페 더 프라임 2.0 디젤 2WD 익스클루시브 스페셜,2016.0,186.0,4.0,41.0,3318.0,2790.0,10000,0
현대 그랜져TG Q270 디럭스,2006.0,195.0,6.0,25.6,2771.0,530.0,170000,0
현대 제네시스 BH330 럭셔리,2010.0,262.0,6.0,32.1,4724.0,980.0,90000,1
현대 뉴 에쿠스 VL 500 프레스티지,2015.0,416.0,8.0,52.0,14303.0,4850.0,30000,1
현대 i30 1.6 VVT 럭셔리,2008.0,121.0,4.0,15.7,1425.0,465.0,120000,0
기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,2015.0,202.0,4.0,45.0,2990.0,2599.0,50000,0
현대 뉴 에쿠스 VL 500 프레스티지,2012.0,430.0,8.0,52.0,14300.0,1880.0,70000,1
현대 엑센트 1.4 VVT 위트 모던,2017.0,100.0,4.0,13.6,1499.0,990.0,30000,0
기아 스토닉 1.6 디젤 프레스티지,2018.0,110.0,4.0,30.6,2265.0,1650.0,10000,0
현대 뉴그랜져XG R25 고급형,2002.0,172.0,6.0,23.5,2711.0,140.0,340000,0
쉐보레 올 뉴 말리부 1.5 터보 LTZ 퍼팩트블랙,2017.0,166.0,4.0,25.5,3085.0,2950.0,10,0
기아 K5 2.0 터보 프레스티지,2012.0,271.0,4.0,37.1,2815.0,1490.0,70000,0
현대 제네시스 쿠페 380 GT R,2009.0,303.0,6.0,36.8,3392.0,990.0,120000,1
현대 쏘나타 하이브리드 2.0 HEV 스마트,2014.0,191.0,4.0,27.0,3038.0,1390.0,50000,0
현대 제네시스 BH380 로얄 VIP 팩,2012.0,290.0,6.0,36.5,6021.0,1790.0,190000,1
GM대우 마티즈 크리에이티브 재즈 일반형,2011.0,70.0,4.0,9.4,873.0,370.0,100000,0
기아 뉴 페이스 카렌스 2.0 LPI GLX 최고급형,2009.0,141.0,4.0,19.0,2006.0,588.0,200000,0
제네시스 EQ900 3.8 GDi AWD 프레스티지,2016.0,315.0,6.0,40.5,10500.0,4590.0,80000,3
현대 LF쏘나타 2.0 CVVL 스마트,2015.0,168.0,4.0,20.5,2545.0,1499.0,30000,0
르노삼성 SM7 VQ23 LE,2005.0,170.0,6.0,23.0,2730.0,590.0,70000,0
현대 엑센트 1.6 VGT 모던,2015.0,136.0,4.0,30.6,1796.0,690.0,110000,0
현대 싼타페 2.0 골드 디젤 2WD 기본형,2002.0,126.0,4.0,26.4,2003.0,150.0,170000,0
기아 더 뉴 K9 3.3 GDI 이그제큐티브,2015.0,300.0,6.0,35.5,5330.0,3950.0,20000,1
기아 포르테 1.6 CVVT SI,2010.0,124.0,4.0,15.9,1466.0,390.0,130000,0
현대 뉴 제네시스 G380 파이니스트 에디션 AWD,2016.0,315.0,6.0,40.5,7123.0,5190.0,20000,3
쉐보레 스파크 LPGi LT,2013.0,65.0,4.0,9.3,1256.0,430.0,80000,0
기아 스포티지R 2.0 디젤 2WD TLX 고급형,2012.0,184.0,4.0,40.0,2187.0,949.0,170000,0
쌍용 슈퍼렉스턴 노블레스 AWD,2011.0,186.0,6.0,41.0,4014.0,650.0,170000,2
기아 쏘렌토 2.5 TLX 4WD 최고급형,2002.0,145.0,4.0,33.0,2490.0,400.0,170000,3
르노삼성 SM6 1.6 TCe RE,2016.0,190.0,4.0,26.5,3250.0,1310.0,30000,0
현대 제네시스 쿠페 200 터보 P,2010.0,210.0,4.0,30.5,2641.0,500.0,130000,1
현대 제네시스 쿠페 380 GT R,2010.0,303.0,6.0,36.8,3392.0,1270.0,60000,1
현대 뉴 에쿠스 VL 500 프레스티지,2015.0,416.0,8.0,52.0,14303.0,2990.0,180000,1
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,2014.0,201.0,4.0,25.5,3141.0,1730.0,70000,0
현대 엑센트 1.6 VGT 모던,2016.0,136.0,4.0,30.6,1796.0,520.0,160000,0
현대 싼타페DM 2.0 VGT 2WD 익스클루시브,2014.0,184.0,4.0,41.0,3198.0,1590.0,70000,0
르노삼성 SM7 VQ35 RE 블랙,2007.0,217.0,6.0,31.9,3755.0,250.0,160000,0
르노삼성 QM3 RE,2015.0,90.0,4.0,22.4,2495.0,790.0,130000,0
기아 올 뉴 카니발 하이리무진 2.2 디젤 9인승 프레스티지,2016.0,202.0,4.0,45.0,4985.0,4390.0,20000,0
현대 더 럭셔리 그랜져 Q270 럭셔리,2010.0,195.0,6.0,25.5,3182.0,1190.0,200000,0
현대 아반떼MD M16 GDi 프리미엄,2013.0,140.0,4.0,16.9,1955.0,866.0,150000,0
기아 올 뉴 모닝 1.0 가솔린 럭셔리,2013.0,82.0,3.0,9.6,1176.0,590.0,50000,0
현대 아반떼HD 1.6 VVT X16 프리미어,2007.0,121.0,4.0,15.6,1520.0,450.0,60000,0
현대 제네시스 쿠페 200 터보 D,2010.0,210.0,4.0,30.5,2320.0,1050.0,100000,1
르노삼성 SM3 네오 SE,2015.0,117.0,4.0,16.1,1710.0,552.0,40000,0
쉐보레 말리부 2.0 LTZ 디럭스팩,2012.0,141.0,6.0,18.8,2963.0,1040.0,30000,0
현대 그랜져HG 220 디젤 프리미엄,2015.0,202.0,4.0,45.0,3389.0,899.0,370000,0
현대 뉴 제네시스 G330 모던 AWD,2015.0,282.0,6.0,35.4,4807.0,3650.0,40000,3
쌍용 뉴체어맨 CM500S 마제스티,2006.0,197.0,6.0,27.6,4664.0,195.0,190000,1
현대 벨로스터 익스트림 터보,2013.0,204.0,4.0,26.9,2195.0,1030.0,90000,0
기아 K5 2.0 디럭스,2011.0,165.0,4.0,20.2,2365.0,890.0,140000,0
제네시스 G80 3.3 GDi 프리미엄 럭셔리,2017.0,282.0,6.0,35.4,5510.0,3580.0,70000,1
현대 베라크루즈 2WD 300X 디럭스,2008.0,240.0,6.0,46.0,3549.0,650.0,350000,0
현대 뉴아반떼XD 1.5 VVT 골드 최고급형,2004.0,107.0,4.0,13.6,1234.0,330.0,90000,0
현대 싼타페DM 2.0 VGT 2WD 익스클루시브,2015.0,184.0,4.0,41.0,3198.0,1990.0,80000,0
기아 K5 하이브리드 500H 프레스티지,2015.0,191.0,4.0,27.0,3178.0,2090.0,20000,0
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,2017.0,202.0,4.0,45.0,3340.0,2590.0,50000,0
현대 제네시스 쿠페 200 터보 R,2009.0,210.0,4.0,30.5,2942.0,1250.0,140000,1
기아 K3 1.6 GDI 프레스티지,2014.0,140.0,4.0,16.9,1923.0,450.0,100000,0
기아 스포티지R 2.0 디젤 2WD TLX 최고급형,2013.0,184.0,4.0,40.0,2499.0,890.0,120000,0
현대 그랜져TG Q270 럭셔리,2006.0,195.0,6.0,25.6,2971.0,499.0,120000,0
현대 싼타페DM 2.0 VGT 4WD 프리미엄,2013.0,184.0,4.0,41.0,3218.0,1699.0,60000,2
현대 뉴 에쿠스 VS 380 익스클루시브,2015.0,334.0,6.0,40.3,8747.0,3950.0,80000,1
기아 스토닉 1.4 가솔린 프레스티지,2018.0,100.0,4.0,13.6,2025.0,1600.0,10000,0
르노삼성 SM7 뉴 아트 RE23,2011.0,170.0,6.0,23.0,3270.0,650.0,150000,0
현대 벨로스터 DCT 팩,2012.0,140.0,4.0,17.0,2200.0,650.0,110000,0
현대 뉴 에쿠스 VS 380 프라임 VIP팩,2010.0,290.0,6.0,36.5,7980.0,1950.0,220000,1
현대 그랜져IG 2.4 GDI 프리미엄 스페셜,2019.0,190.0,4.0,24.6,3400.0,2850.0,30000,0
쉐보레 말리부 2.0 LTZ 디럭스팩,2013.0,141.0,6.0,18.8,3015.0,690.0,140000,0
현대 투싼ix 디젤 LX20 2WD 럭셔리,2010.0,184.0,4.0,40.0,2390.0,999.0,100000,0
현대 올 뉴 투싼 2.0 E-VGT 2WD 모던,2016.0,186.0,4.0,41.0,2655.0,1550.0,90000,0
현대 투스카니 2.0 GL 고급형,2006.0,143.0,4.0,19.0,1282.0,290.0,160000,0
기아 K5 2.4 GDI 프레스티지,2011.0,201.0,4.0,25.5,2825.0,1380.0,90000,0
현대 그랜져HG 240 모던,2016.0,190.0,4.0,25.5,2988.0,2350.0,4000,0
현대 그랜져TG L330 탑,2006.0,233.0,6.0,31.0,3577.0,300.0,180000,0
쉐보레 올 뉴 말리부 1.5 터보 LT 디럭스,2017.0,166.0,4.0,25.5,2863.0,1100.0,30000,0
기아 모하비 KV300 4WD 최고급형,2011.0,250.0,6.0,55.1,4605.0,2150.0,150000,2
기아 포르테 1.6 CVVT SI,2010.0,124.0,4.0,15.9,1466.0,570.0,110000,0
기아 더 K9 3.3 T-GDI AWD 마스터즈Ⅲ,2020.0,370.0,6.0,52.0,7289.0,5440.0,20000,3
현대 NF쏘나타 N20 VGT 럭셔리 기본형,2007.0,146.0,4.0,32.0,2366.0,650.0,140000,0
현대 베라크루즈 4WD 300VXL 프리미엄,2012.0,245.0,6.0,46.0,4564.0,2330.0,110000,2
현대 제네시스 BH330 프리미엄 다이내믹 에디션,2013.0,300.0,6.0,35.5,5126.0,2090.0,130000,1
현대 더 뉴 제네시스 쿠페 380 GT R,2014.0,350.0,6.0,40.8,3583.0,1620.0,120000,1
쉐보레 크루즈 1.4 터보 LTZ 플러스,2014.0,130.0,4.0,20.4,2114.0,1390.0,60000,0
기아 레이 1.0 가솔린 디럭스 스페셜,2015.0,78.0,3.0,9.6,1310.0,658.0,70000,0
현대 제네시스 쿠페 200 터보 RW,2010.0,210.0,4.0,30.5,3136.0,580.0,150000,1
현대 제네시스 BH330 프리미엄,2014.0,300.0,6.0,35.5,5030.0,3200.0,10000,1
르노삼성 QM6 2.0 dCi 2WD RE 시그니처,2017.0,177.0,4.0,38.8,3335.0,2390.0,60000,0
쌍용 액티언 CX7 2WD 고급형,2008.0,142.0,4.0,31.6,2096.0,430.0,160000,1
현대 뉴 i30 1.6 VGT 유니크,2012.0,128.0,4.0,26.5,2045.0,1280.0,80000,0
현대 뉴 제네시스 G330 프리미엄 AWD,2014.0,282.0,6.0,35.4,5510.0,4130.0,40000,3
현대 제네시스 BH330 그랜드,2010.0,262.0,6.0,32.1,4149.0,1059.0,170000,1
현대 제네시스 BH330 그랜드,2011.0,262.0,6.0,32.1,4149.0,790.0,160000,1
현대 뉴 에쿠스 VS 380 럭셔리,2010.0,290.0,6.0,36.5,6622.0,1690.0,120000,1
현대 투싼ix 디젤 LMX20 2WD 프리미엄,2011.0,184.0,4.0,40.0,2831.0,1100.0,150000,0
현대 그랜져HG 220 디젤 프리미엄,2015.0,202.0,4.0,45.0,3389.0,1990.0,100000,0
현대 뉴 제네시스 G330 프리미엄 AWD,2015.0,282.0,6.0,35.4,5401.0,3530.0,90000,3
기아 더 뉴 모닝 바이퓨얼 럭셔리,2016.0,78.0,3.0,9.6,1320.0,799.0,20000,0
현대 LF쏘나타 2.0 CVVL 스마트 스페셜,2017.0,168.0,4.0,20.5,2695.0,1290.0,90000,0
기아 그랜드카니발 R 하이리무진 11인승 2.2 GLX 최고급형,2014.0,197.0,4.0,44.5,4306.0,2050.0,100000,0
쌍용 체어맨W CW600 프레스티지,2011.0,225.0,6.0,30.2,5615.0,899.0,120000,1
현대 싼타페TM 2.0 디젤 2WD 프리미엄,2019.0,186.0,4.0,41.0,2950.0,2490.0,40000,0
GM대우 마티즈2 MX 고급형,2001.0,52.0,3.0,7.3,786.0,99.0,160000,0
쌍용 뉴카이런 2.0 EV5 2WD 고급형,2008.0,151.0,4.0,33.8,2328.0,530.0,140000,0
기아 더 뉴 K5 2.0 럭셔리 트렌디,2014.0,172.0,4.0,20.5,2485.0,1090.0,90000,0
르노삼성 SM7 VQ23 LE,2007.0,170.0,6.0,23.0,2930.0,580.0,110000,0
기아 K5 2.0 프레스티지,2012.0,165.0,4.0,20.2,2600.0,1190.0,80000,0
쌍용 뉴체어맨 CM600S 마제스티S,2008.0,220.0,6.0,32.0,6090.0,850.0,130000,1
기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,2014.0,184.0,4.0,41.0,2565.0,1590.0,110000,0
현대 벨로스터 1.6 T-GDi 스포츠 코어,2018.0,204.0,4.0,27.0,2563.0,1690.0,20000,0
현대 뉴 제네시스 G330 모던,2016.0,282.0,6.0,35.4,4650.0,2490.0,150000,1
현대 뉴 에쿠스 VL 380 프레스티지,2015.0,334.0,6.0,40.3,13579.0,2390.0,180000,1
현대 그랜져TG L330 탑,2005.0,233.0,6.0,31.0,3577.0,630.0,190000,0
기아 뉴모닝 SLX 고급형 블랙 프리미엄,2009.0,64.0,4.0,8.8,881.0,280.0,60000,0
기아 뉴모닝 SLX 고급형,2009.0,64.0,4.0,8.8,835.0,270.0,90000,0
기아 K5 2.0 스마트,2013.0,172.0,4.0,20.5,2195.0,1100.0,160000,0
쉐보레 스파크 LT 스페셜 에디션,2012.0,70.0,4.0,9.4,1049.0,499.0,40000,0
르노삼성 뉴 QM5 디젤 2WD LE,2013.0,173.0,4.0,36.7,2830.0,1560.0,70000,0
현대 투싼 2.0 VGT 디젤 베스트 레이디 MX 2WD,2007.0,146.0,4.0,32.0,2183.0,470.0,160000,0
기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,2016.0,202.0,4.0,45.0,2990.0,2580.0,30000,0
현대 제네시스 쿠페 380 GT R,2010.0,303.0,6.0,36.8,3392.0,1350.0,100000,1
쉐보레 스파크 LT,2013.0,70.0,4.0,9.4,1143.0,480.0,70000,0
쌍용 뉴체어맨 CM500S 마제스티S,2007.0,197.0,6.0,27.6,5042.0,150.0,110000,1
쉐보레 더 넥스트 스파크 1.0 LT 플러스 ,2016.0,75.0,4.0,9.6,1136.0,31.0,27,0
현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,2014.0,184.0,4.0,40.0,2380.0,1820.0,50000,0
기아 쏘울 1.6 U 고급형,2010.0,124.0,4.0,15.9,1301.0,320.0,80000,0
기아 K7 VG270 럭셔리 프리미엄,2011.0,200.0,6.0,26.0,3590.0,1060.0,130000,0
르노삼성 뉴SM5 플래티넘 LE ,2013.0,141.0,4.0,19.8,2660.0,1650.0,10000,0
기아 K5 2.0 터보 노블레스,2012.0,271.0,4.0,37.1,2945.0,1600.0,80000,0
현대 제네시스 쿠페 380 GT RW,2010.0,303.0,6.0,36.8,3428.0,1150.0,120000,1
현대 제네시스 쿠페 200 터보 R,2010.0,210.0,4.0,30.5,2942.0,1260.0,70000,1
현대 투싼 2.0 CRDi 디젤 JX 2WD 기본형,2004.0,115.0,4.0,26.0,1452.0,220.0,160000,0
르노삼성 SM5 노바 RE,2015.0,141.0,4.0,19.8,2890.0,1330.0,70000,0
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,2015.0,202.0,4.0,45.0,3630.0,3250.0,20000,0
현대 뉴 에쿠스 VS 460 프레스티지,2010.0,366.0,8.0,44.8,10900.0,1690.0,90000,1
GM대우 라세티 프리미어 SX 일반형,2010.0,124.0,4.0,15.7,1571.0,670.0,140000,0
현대 더 뉴 제네시스 쿠페 200 터보 S,2012.0,275.0,4.0,38.0,2965.0,1750.0,90000,1
르노삼성 SM7 뉴 아트 LE23,2009.0,170.0,6.0,23.0,3020.0,450.0,150000,0
기아 K7 VG270 럭셔리,2011.0,200.0,6.0,26.0,3340.0,660.0,130000,0
현대 테라칸 2.9 CRDi 디젤 JX290 4WD 기본형,2004.0,150.0,4.0,34.0,2406.0,680.0,170000,2
기아 쏘렌토 2.5 TLX 4WD 고급형,2003.0,145.0,4.0,33.0,2460.0,650.0,180000,3
기아 더 뉴 모닝 1.0 터보 럭셔리,2016.0,106.0,3.0,14.0,1440.0,920.0,30000,0
현대 싼타페CM 2.2 VGT CLX 2WD 최고급형,2008.0,172.0,4.0,37.0,2984.0,290.0,150000,0
현대 싼타페 더 프라임 2.0 디젤 2WD 프리미엄,2016.0,186.0,4.0,41.0,2985.0,1800.0,110000,0
쌍용 뉴 코란도 C 2.0 디젤 AWD CVT 고급형,2014.0,181.0,4.0,36.7,2560.0,1490.0,40000,2
기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,2012.0,82.0,3.0,9.6,1050.0,220.0,60000,0
현대 에쿠스 JS 330 고급형,2006.0,247.0,6.0,31.5,4589.0,399.0,180000,0
현대 싼타페 더스타일 2.0 e-VGT MLX 2WD 프리미어,2011.0,184.0,4.0,40.0,3112.0,899.0,180000,0
현대 그랜져HG 240 럭셔리,2012.0,201.0,4.0,25.5,2994.0,1190.0,160000,0
기아 스포티지R 2.0 디젤 2WD TLX 고급형,2011.0,184.0,4.0,40.0,2187.0,1490.0,50000,0
쌍용 뉴 체어맨W CW700 4트로닉 VVIP,2014.0,250.0,6.0,35.0,8014.0,2980.0,100000,3
현대 그랜져TG L330 탑 메모리팩,2005.0,233.0,6.0,31.0,3684.0,550.0,200000,0
기아 더 뉴 K7 2.4 GDI 프레스티지,2015.0,201.0,4.0,25.5,2960.0,1520.0,50000,0
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,2016.0,186.0,4.0,41.0,3150.0,1380.0,120000,0
쌍용 뉴체어맨 CM500S 마제스티,2006.0,197.0,6.0,27.6,4664.0,290.0,240000,1
쉐보레 스파크 LS,2012.0,70.0,4.0,9.4,1010.0,458.0,60000,0
제네시스 EQ900 3.3 T-GDi AWD 럭셔리,2016.0,370.0,6.0,52.0,7805.0,4500.0,50000,3
현대 제네시스 쿠페 200 터보 R,2009.0,210.0,4.0,30.5,2942.0,990.0,130000,1
기아 포르테 쿱 2.0 CVVT 고급형 레드프리미엄,2010.0,158.0,4.0,20.2,1966.0,638.0,60000,0
현대 제네시스 쿠페 380 GT R,2009.0,303.0,6.0,36.8,3392.0,670.0,140000,1
현대 싼타페TM 2.0 T-GDi 4WD 인스퍼레이션,2020.0,235.0,4.0,36.0,3780.0,3780.0,10000,3
현대 제네시스 BH330 럭셔리,2012.0,300.0,6.0,35.5,4940.0,1350.0,120000,1
현대 LF쏘나타 2.4 GDi 익스클루시브,2015.0,193.0,4.0,25.5,2990.0,1590.0,90000,0
기아 레이 1.0 터보 프레스티지,2013.0,106.0,3.0,14.0,1574.0,890.0,50000,0
쉐보레 캡티바 2.0 디젤 2WD LT 프리미엄,2015.0,163.0,4.0,40.8,3069.0,1450.0,130000,0
현대 제네시스 쿠페 200 터보 R,2009.0,210.0,4.0,30.5,2942.0,790.0,130000,1
기아 옵티마 리갈 RX20 고급형,2005.0,137.0,4.0,18.0,1831.0,195.0,140000,0
기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,2015.0,184.0,4.0,41.0,2405.0,1499.0,60000,0
현대 엑센트 1.6 VGT 스마트,2014.0,128.0,4.0,26.5,1473.0,799.0,20000,0
기아 오피러스 프리미엄 GH270 디럭스 스페셜,2011.0,195.0,6.0,25.6,3781.0,1270.0,60000,0
기아 스포티지R 2.0 디젤 2WD TLX 고급형,2011.0,184.0,4.0,40.0,2187.0,980.0,120000,0
현대 그랜져HG 220 디젤 모던,2015.0,202.0,4.0,45.0,3156.0,2550.0,10000,0
현대 그랜져HG 300 프리미엄,2014.0,270.0,6.0,31.5,3273.0,2100.0,60000,0
기아 더 뉴 K7 3.0 GDI 프레스티지,2016.0,270.0,6.0,31.6,3220.0,2640.0,10000,0
쌍용 코란도 투리스모 GT 4WD,2014.0,155.0,4.0,36.7,3251.0,1900.0,80000,2
현대 엑센트 1.6 GDi 프리미엄,2015.0,140.0,4.0,16.9,1630.0,650.0,80000,0
현대 제네시스 쿠페 380 GT RW,2010.0,303.0,6.0,36.8,3428.0,1400.0,70000,1
르노삼성 뉴 SM5 SE 플러스,2011.0,141.0,4.0,19.8,2410.0,650.0,70000,0
기아 뉴 카렌스 2.0 LPI GLX 최고급형,2007.0,136.0,4.0,18.9,1940.0,290.0,220000,0
쌍용 뉴 체어맨W CW700 4트로닉 보우 에디션,2015.0,250.0,6.0,35.0,8442.0,1450.0,140000,3
기아 스포티지R 2.0 디젤 2WD TLX 프리미엄,2011.0,184.0,4.0,40.0,2615.0,700.0,180000,0
르노삼성 SM5 SM520V 플러스,2004.0,144.0,6.0,18.6,2309.0,390.0,140000,0
현대 그랜져TG Q270 럭셔리,2006.0,195.0,6.0,25.6,2971.0,770.0,150000,0
쉐보레 스파크 LT,2012.0,70.0,4.0,9.4,1143.0,570.0,70000,0
기아 니로 1.6 GDi HEV 노블레스,2017.0,141.0,4.0,27.0,2898.0,2690.0,9000,0
현대 LF쏘나타 하이브리드 2.0 HEV 모던,2016.0,191.0,4.0,27.0,3138.0,1100.0,110000,0
현대 뉴 에쿠스 VS380 모던,2015.0,334.0,6.0,40.3,6783.0,5280.0,10000,1
기아 그랜드카니발 GX 고급형,2008.0,170.0,4.0,36.0,2090.0,1250.0,120000,0
르노삼성 뉴SM5 플래티넘 디젤 D,2014.0,110.0,4.0,24.5,2580.0,730.0,60000,0
기아 오피러스 GH300 최고급형 프리미엄,2004.0,187.0,6.0,25.9,4574.0,319.0,130000,0
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,2016.0,202.0,4.0,45.0,3270.0,3480.0,10000,0
현대 베라크루즈 2WD 300VX 스마트 팩,2012.0,245.0,6.0,46.0,4091.0,2350.0,90000,0
기아 스포티지R 2.0 디젤 2WD TLX 고급형,2011.0,184.0,4.0,40.0,2187.0,1220.0,90000,0
현대 그랜져TG L330 탑,2005.0,233.0,6.0,31.0,3577.0,288.0,160000,0
쉐보레 트랙스 1.6 디젤 LTZ,2016.0,135.0,4.0,32.7,2495.0,1290.0,30000,0
르노삼성 올 뉴 SM7 LE,2012.0,190.0,6.0,24.8,3166.0,870.0,110000,0
현대 뉴 에쿠스 VS 380 모던,2014.0,334.0,6.0,40.3,6839.0,3480.0,70000,1
현대 그랜져IG 하이브리드 2.4 HEV 익스클루시브 스페셜,2019.0,199.0,4.0,26.7,4136.0,3550.0,10000,0
현대 더 뉴 아반떼 1.6 VGT 스마트,2016.0,136.0,4.0,26.9,2018.0,730.0,80000,0
르노삼성 SM5 뉴 임프레션 LE,2009.0,143.0,4.0,20.0,2390.0,850.0,100000,0
GM대우 토스카 프리미엄6 L6 2.0 CDX ,2008.0,144.0,6.0,19.2,2378.0,599.0,130000,0
